Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Google_Index,count_dot,count_www,count_per,count_ques,count_hyphen,count_equal,Label
pmm.ac.in,0,0,1,6,0,0,0,0,0,1,0,1,0,0,1,0,1,6,1,0,1,1,0,1
pmm.ac.in,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,0,1,1,0,1
saudeproturb.com,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1
gulfishop.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,1,4,1,0,0,0,0,1
gulfishop.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,1,4,1,0,0,0,0,1
hitekscaffolding.co.uk,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,3,1,0,0,0,0,1
hitekscaffolding.co.uk,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,3,1,0,0,0,0,1
foxlap.com,0,0,1,6,0,0,0,0,1,1,1,1,1,1,1,1,1,2,0,0,1,2,3,1
foxlap.com,0,0,1,5,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,2,0,1
jcarmoeventos.com.br,0,0,1,4,0,0,0,0,0,1,1,0,1,1,1,1,1,3,0,0,0,1,0,1
thechristianreferralnetwork.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1
thechristianreferralnetwork.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1
acct-scsouthmountain-inv.net,0,0,1,3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,0,1
acct-scsouthmountain-inv.net,0,0,1,3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,0,1
portraitomar.net,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
meliansoftware.com,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,0,1,3,1,0,0,0,0,1
acct-scsouthmountain-inv.me,0,0,1,3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,0,1
acct-scsouthmountain-inv.me,0,0,1,3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,0,1
venturegroupit.com,0,0,1,2,0,0,1,0,0,1,1,1,0,0,1,0,1,2,0,0,0,0,0,1
venturegroupit.com,0,0,1,2,0,0,1,0,0,1,1,1,0,0,1,0,1,2,0,0,0,0,0,1
venturegroupit.com,0,0,1,2,0,0,1,0,0,1,1,1,0,0,1,0,1,2,0,0,0,0,0,1
venturegroupit.com,0,0,1,2,0,0,1,0,0,1,1,1,0,0,1,0,1,2,0,0,0,0,0,1
alibaba.com.spatialsys.com.ru,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,1,5,0,0,1,0,3,1
rubbly-diagram.000webhostapp.com,0,0,1,4,0,0,0,1,0,1,0,1,0,0,1,0,1,3,0,0,0,1,0,1
recover.tym.tw,0,0,1,2,0,0,0,0,0,1,0,0,1,1,1,1,1,3,0,0,1,0,3,1
recover.tym.tw,0,0,1,2,0,0,0,0,0,1,0,0,1,1,1,1,1,3,0,0,1,0,3,1
microsoft-outlook.dynv6.net,0,0,0,2,0,0,0,1,1,1,1,1,1,1,1,1,1,2,0,0,0,1,0,1
microsoft-outlook.dynv6.net,0,0,0,2,0,0,0,1,1,1,1,1,1,1,1,1,1,2,0,0,0,1,0,1
sys-xfinitysupport0-28.000webhostapp.com,0,0,1,8,0,0,0,1,0,1,0,1,0,0,1,0,1,3,0,0,0,3,0,1
camadanyapimalzemeleri.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
whatsappjoingrup.zyns.com,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,4,1,0,0,0,0,1
